id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
1,7.48,6.4197545,27.294586,0.24952134490013123,0.49904268980026245,0.06507463142659241,23356,44,cell,5,5,7,4721645.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,7
2,6.63,23.000578,14.199987,0.2112448513507843,0.4224897027015686,0.03948635152740734,22881,39,cell,3,3,7,2415229.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,7
3,3.06,4.1239486,13.944898,0.27999430894851685,0.5599886178970337,0.09194671584583977,22298,18,cell,2,2,3,5896213.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,3
4,7.65,16.580824,8.8005905,0.29214486479759216,0.5842897295951843,0.10444397205440285,21578,45,cell,6,6,3,6192208.0,122872848.0,12707566.0,30.383370201744615,0.503321841750601,6,3
5,7.14,16.070644,8.332927,0.18150536715984344,0.3630107343196869,0.02504707548290111,18128,42,cell,6,6,1,1229457.0,122872848.0,12707566.0,30.383370201744615,0.503321841750601,6,1
6,5.78,4.4215527,15.26286,0.25100550055503845,0.5020110011100769,0.06624274574601534,18224,34,cell,2,2,11,3741587.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,11
7,2.72,2.9760451,14.540107,0.2483329176902771,0.4966658353805542,0.06414923515784568,19516,16,cell,2,2,1,3867792.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,1
8,5.9500003,19.769444,12.754479,0.30366969108581543,0.6073393821716309,0.11729863338177732,18453,35,cell,3,3,6,5453529.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,6
9,9.18,1.7856271,17.091002,0.24432969093322754,0.4886593818664551,0.06109664270651384,17681,54,cell,0,0,0,3170770.0,0.0,0.0,0.0,0.0,0,0
10,2.72,3.6987991,13.944898,0.4,0.8,0.26808257310632905,18796,16,cell,2,2,2,11338788.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,2
11,7.14,14.497592,13.137114,0.19708286225795746,0.3941657245159149,0.032065291486226194,13819,42,cell,4,4,7,1254063.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,7
12,6.46,12.32933,14.667651,0.24834036827087402,0.49668073654174805,0.06415500922184385,16433,38,cell,4,4,2,2805168.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,2
13,6.8,11.776636,11.394002,0.25524359941482544,0.5104871988296509,0.06965514335849542,15051,40,cell,4,4,4,2964703.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,4
14,4.08,5.2293367,14.752681,0.230203315615654,0.460406631231308,0.05110028622552334,15740,24,cell,2,2,8,2170690.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,8
15,7.31,9.650889,25.764048,0.1530063897371292,0.3060127794742584,0.015004354378285654,12643,43,cell,5,5,4,385639.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,4
16,3.57,4.974247,14.582622,0.15675388276576996,0.3135077655315399,0.016134054900021087,14693,21,cell,2,2,5,507620.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,5
17,4.08,1.870657,14.412561,0.2008536458015442,0.4017072916030884,0.03394124487548654,13552,24,cell,2,2,7,1223143.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,7
18,7.82,6.6323295,26.741892,0.398,0.796,0.2640814071923955,14218,46,cell,5,5,9,7448926.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,9
19,7.31,13.307174,11.436517,0.19329462945461273,0.38658925890922546,0.030251573734420074,12071,43,cell,4,4,8,923354.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,8
