cell_id_ch2,lysosomes_in_cell,cell_id_serial,cell_volume_um3
1,7,1,31.38141009307914
2,11,2,40.11057180275623
3,10,3,31.456078717954227
4,9,4,26.99009602686556
5,10,5,39.965843727381056
6,6,6,39.715104641380755
