id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice
1,7.48,6.4197545,27.294586,0.24952134490013123,0.49904268980026245,0.06507463142659241,23356,44
2,6.63,23.000578,14.199987,0.2112448513507843,0.4224897027015686,0.03948635152740734,22881,39
3,3.06,4.1239486,13.944898,0.27999430894851685,0.5599886178970337,0.09194671584583977,22298,18
4,7.65,16.580824,8.8005905,0.29214486479759216,0.5842897295951843,0.10444397205440285,21578,45
5,7.14,16.070644,8.332927,0.18150536715984344,0.3630107343196869,0.02504707548290111,18128,42
6,5.78,4.4215527,15.26286,0.25100550055503845,0.5020110011100769,0.06624274574601534,18224,34
7,2.72,2.9760451,14.540107,0.2483329176902771,0.4966658353805542,0.06414923515784568,19516,16
8,5.9500003,19.769444,12.754479,0.30366969108581543,0.6073393821716309,0.11729863338177732,18453,35
9,9.18,1.7856271,17.091002,0.24432969093322754,0.4886593818664551,0.06109664270651384,17681,54
10,2.72,3.6987991,13.944898,0.4,0.8,0.26808257310632905,18796,16
11,7.14,14.497592,13.137114,0.19708286225795746,0.3941657245159149,0.032065291486226194,13819,42
12,6.46,12.32933,14.667651,0.24834036827087402,0.49668073654174805,0.06415500922184385,16433,38
13,6.8,11.776636,11.394002,0.25524359941482544,0.5104871988296509,0.06965514335849542,15051,40
14,4.08,5.2293367,14.752681,0.230203315615654,0.460406631231308,0.05110028622552334,15740,24
15,7.31,9.650889,25.764048,0.1530063897371292,0.3060127794742584,0.015004354378285654,12643,43
16,3.57,4.974247,14.582622,0.15675388276576996,0.3135077655315399,0.016134054900021087,14693,21
17,4.08,1.870657,14.412561,0.2008536458015442,0.4017072916030884,0.03394124487548654,13552,24
18,7.82,6.6323295,26.741892,0.398,0.796,0.2640814071923955,14218,46
19,7.31,13.307174,11.436517,0.19329462945461273,0.38658925890922546,0.030251573734420074,12071,43
20,5.9500003,12.626935,13.094599,0.18822893500328064,0.3764578700065613,0.027934941379118554,11949,35
21,7.31,22.362854,13.987412,0.22150222957134247,0.44300445914268494,0.04552216571909262,12019,43
22,9.86,0.6802389,15.43292,0.19892337918281555,0.3978467583656311,0.03297206093016234,11376,58
23,6.46,7.6101727,27.84728,0.22596435248851776,0.4519287049770355,0.04832906617282437,11917,38
24,6.9700003,13.859868,14.540107,0.1939798891544342,0.3879597783088684,0.03057445538387031,10960,41
25,5.1,21.6401,13.987412,0.29649117588996887,0.5929823517799377,0.10917518256453553,11950,30
26,5.1,21.937704,13.987412,0.30276644229888916,0.6055328845977783,0.11625504863946065,12054,30
27,9.18,16.240704,6.759874,0.22053326666355133,0.44106653332710266,0.04492736427881388,11175,54
28,7.48,6.249695,25.42393,0.231791689991951,0.463583379983902,0.052165358348184636,10296,44
29,7.65,11.946695,14.285017,0.16581571102142334,0.3316314220428467,0.019097021712217842,10838,45
30,9.690001,1.1053882,17.048487,0.334322988986969,0.668645977973938,0.15652630456237931,10384,57
31,5.61,22.702974,14.157473,0.192717045545578,0.385434091091156,0.029981198964504407,13560,33
32,9.52,0.21257466,17.516151,0.19984394311904907,0.39968788623809814,0.03343194008590322,10108,56
33,6.63,11.351487,14.072442,0.19160477817058563,0.38320955634117126,0.02946507933473644,10374,39
34,2.55,6.3772397,6.589814,0.19789497554302216,0.3957899510860443,0.03246331850689578,9211,15
35,8.16,9.353285,26.571833,0.21729278564453125,0.4345855712890625,0.04297585560915092,10485,48
36,5.61,4.8041873,16.708368,0.18543311953544617,0.37086623907089233,0.02670856302894548,10935,33
37,8.67,14.837711,9.05568,0.21859624981880188,0.43719249963760376,0.04375389602221645,9164,51
38,5.78,4.336523,16.198189,0.29909399151802063,0.5981879830360413,0.11207575549800708,10696,34
39,3.74,2.5934107,13.5622635,0.180180162191391,0.360360324382782,0.0245024510277288,9022,22
40,6.9700003,21.087406,14.965256,0.20286040008068085,0.4057208001613617,0.03496877690025335,9047,41
41,7.48,9.013165,27.549675,0.17473149299621582,0.34946298599243164,0.022346122365358996,8053,44
42,2.21,6.0371203,8.673046,0.1943586766719818,0.3887173533439636,0.030753914991615488,6405,13
43,9.86,18.323935,12.2443,0.154898539185524,0.309797078371048,0.015567919434980166,5865,58
44,10.54,20.577227,24.446085,0.15010471642017365,0.3002094328403473,0.014166795485767988,6975,62
45,2.21,8.077837,7.822747,0.17352277040481567,0.34704554080963135,0.021885578353771726,5764,13
46,9.690001,0.21257466,14.795197,0.2106025665998459,0.4212051331996918,0.03912727368260065,6232,57
47,7.14,20.704771,14.837711,0.34102681279182434,0.6820536255836487,0.16613234214710534,6336,42
48,6.9700003,10.883822,13.307174,0.14369355142116547,0.28738710284233093,0.012427977122276942,5644,41
49,8.67,14.242502,7.7802324,0.15275545418262482,0.30551090836524963,0.014930652467472473,5437,51
50,10.54,17.558666,22.23531,0.16536417603492737,0.33072835206985474,0.018941436091878438,5609,62
51,11.05,22.107765,23.170637,0.15801061689853668,0.31602123379707336,0.016525226288100495,6067,65
52,8.67,17.133518,25.84908,0.17526380717754364,0.3505276143550873,0.02255097552601898,4450,51
53,4.08,7.5251427,8.970651,0.2270248532295227,0.4540497064590454,0.04901272173114829,4778,24
54,5.78,19.769444,13.647293,0.3468265235424042,0.6936530470848083,0.1747533530612432,4865,34
55,5.78,10.713762,10.161069,0.15551596879959106,0.31103193759918213,0.015754824866859498,4209,34
56,5.61,21.044891,14.710166,0.2218277007341385,0.443655401468277,0.04572312893477156,5310,33
57,10.03,15.26286,27.677221,0.14055278897285461,0.28110557794570923,0.011630731027905131,4082,59
58,7.31,10.883822,25.976624,0.16354651749134064,0.3270930349826813,0.018323672111062273,3757,43
59,3.23,3.613769,13.349689,0.08652374893426895,0.1730474978685379,0.0027132798817764738,5288,19
60,8.84,0.85029864,14.837711,0.13817137479782104,0.2763427495956421,0.011049505585083445,4513,52
61,7.65,15.560465,9.268255,0.396,0.792,0.26012025260249794,4562,45
62,3.74,6.5472994,8.758076,0.22367142140865326,0.4473428428173065,0.04687271418519751,4021,22
63,3.4,8.715561,8.5880165,0.1482151597738266,0.2964303195476532,0.013638496256877691,3517,20
64,6.8,8.205381,28.144884,0.12901312112808228,0.25802624225616455,0.00899477398561272,4274,40
65,7.31,9.31077,25.211355,0.10184767097234726,0.20369534194469452,0.0044252918269246586,3314,43
66,1.7,5.9946055,7.0999937,0.26208850741386414,0.5241770148277283,0.07541062529751419,4387,10
