cell_id,cell_signal_total_CH1,signal_inside_mask_CH1,signal_percent_inside_mask
1,46168764.0,46143100.0,99.94441263361523
2,161134112.0,161022304.0,99.93061183717573
3,109873776.0,109824232.0,99.95490825763557
4,100568336.0,99843872.0,99.2796301213535
5,138663.0,138663.0,100.0
6,122872848.0,122869704.0,99.99744125732319
