,location_ch2,cell_id_serial,lys_id_serial,diameter_um,peak_gray
0,cell,5,5,0.48997870087623596,40752.0
1,cell,3,7,0.41503775119781494,39038.0
2,cell,2,3,0.5404980182647705,39764.0
3,cell,6,3,0.5740296840667725,37742.0
4,cell,2,1,0.47266054153442383,36264.0
5,cell,2,11,0.4936922788619995,33740.0
6,cell,6,1,0.3580664396286011,33025.0
7,cell,3,6,0.6004321575164795,33619.0
8,cell,0,0,0.46866410970687866,32754.0
9,cell,2,2,0.8,34308.0
10,cell,2,5,0.2919173836708069,30780.0
11,cell,2,8,0.4437122046947479,31403.0
12,cell,4,8,0.389400839805603,27453.0
13,cell,4,3,0.489388644695282,29768.0
14,cell,2,7,0.3865453004837036,28079.0
15,cell,4,5,0.5048427581787109,28393.0
16,cell,5,2,0.30446648597717285,26294.0
17,cell,0,0,0.3700624406337738,26478.0
18,cell,5,7,0.796,27482.0
19,cell,4,9,0.38170382380485535,25451.0
20,cell,4,2,0.36823999881744385,25245.0
21,cell,3,10,0.43283817172050476,25026.0
22,cell,6,6,0.42719510197639465,24337.0
23,cell,3,2,0.5324402451515198,24361.0
24,cell,3,1,0.5760879516601562,24509.0
25,cell,5,1,0.44473788142204285,24369.0
26,cell,4,7,0.3831542432308197,23474.0
27,cell,0,0,0.5652475953102112,24102.0
28,cell,1,4,0.3753752112388611,22864.0
29,cell,5,4,0.4595354199409485,23117.0
30,cell,4,10,0.32482725381851196,23536.0
31,cell,0,0,0.3750692903995514,23869.0
32,cell,3,4,0.35301434993743896,26686.0
33,cell,2,9,0.35196176171302795,23759.0
34,cell,2,6,0.34713640809059143,22246.0
35,cell,5,8,0.42209556698799133,22621.0
36,cell,6,5,0.4155053198337555,21679.0
37,cell,4,4,0.3779563009738922,22352.0
38,cell,2,10,0.5867710709571838,23230.0
39,cell,3,8,0.39942532777786255,21131.0
40,cell,0,0,0.2712419927120209,20478.0
41,cell,5,6,0.34715306758880615,20263.0
42,cell,0,0,0.2874552011489868,18936.0
43,cell,1,2,0.3654511570930481,19248.0
44,cell,0,0,0.28102415800094604,19904.0
45,cell,1,3,0.3232908844947815,18443.0
46,cell,0,0,0.30062347650527954,18493.0
47,cell,0,0,0.41281694173812866,18445.0
48,cell,6,4,0.29073575139045715,17207.0
49,cell,3,9,0.6797676682472229,17503.0
50,cell,4,6,0.28682583570480347,16830.0
51,cell,0,0,0.2571970224380493,16089.0
52,cell,0,0,0.33358675241470337,15936.0
53,cell,1,7,0.4371025860309601,16265.0
54,cell,0,0,0.3033924102783203,15444.0
55,cell,2,4,0.17405137419700623,16840.0
56,cell,3,5,0.6525281667709351,16166.0
57,cell,3,3,0.437509685754776,16677.0
58,cell,1,1,0.39617443084716797,16395.0
59,cell,0,0,0.25922903418540955,15846.0
60,cell,1,6,0.4375115633010864,15325.0
61,cell,1,5,0.2788773775100708,14991.0
62,cell,5,3,0.32330888509750366,14759.0
63,cell,4,1,0.792,15959.0
64,cell,3,11,0.27972543239593506,14555.0
65,cell,0,0,0.2550376355648041,14182.0
66,cell,6,2,0.788,15562.0
