id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice
1,7.48,6.4197545,27.294586,0.24952134,0.4990427,0.06507463,23356,44
2,6.63,23.000578,14.199987,0.21124485,0.4224897,0.039486352,22881,39
3,3.06,4.1239486,13.944898,0.2799943,0.5599886,0.09194672,22298,18
4,7.65,16.580824,8.8005905,0.29214486,0.5842897,0.104443975,21578,45
5,7.14,16.070644,8.332927,0.18150537,0.36301073,0.025047075,18128,42
6,5.78,4.4215527,15.26286,0.2510055,0.502011,0.06624275,18224,34
7,2.72,2.9760451,14.540107,0.24833292,0.49666584,0.06414924,19516,16
8,5.9500003,19.769444,12.754479,0.3036697,0.6073394,0.11729864,18453,35
9,9.18,1.7856271,17.091002,0.24432969,0.48865938,0.061096646,17681,54
10,2.72,3.6987991,13.944898,0.4,0.8,0.2680826,18796,16
11,7.14,14.497592,13.137114,0.19708286,0.39416572,0.03206529,13819,42
12,6.46,12.32933,14.667651,0.24834037,0.49668074,0.06415501,16433,38
13,6.8,11.776636,11.394002,0.2552436,0.5104872,0.06965514,15051,40
14,4.08,5.2293367,14.752681,0.23020332,0.46040663,0.051100288,15740,24
15,7.31,9.650889,25.764048,0.15300639,0.30601278,0.0150043545,12643,43
16,3.57,4.974247,14.582622,0.15675388,0.31350777,0.016134055,14693,21
17,4.08,1.870657,14.412561,0.20085365,0.4017073,0.033941247,13552,24
18,7.82,6.6323295,26.741892,0.4,0.8,0.2680826,14218,46
19,7.31,13.307174,11.436517,0.19329463,0.38658926,0.030251574,12071,43
20,5.9500003,12.626935,13.094599,0.18822894,0.37645787,0.027934942,11949,35
21,7.31,22.362854,13.987412,0.22150223,0.44300446,0.045522165,12019,43
22,9.86,0.6802389,15.43292,0.19892338,0.39784676,0.03297206,11376,58
23,6.46,7.6101727,27.84728,0.22596435,0.4519287,0.048329066,11917,38
24,6.9700003,13.859868,14.540107,0.19397989,0.38795978,0.030574456,10960,41
25,5.1,21.6401,13.987412,0.29649118,0.59298235,0.10917518,11950,30
26,5.1,21.937704,13.987412,0.30276644,0.6055329,0.11625505,12054,30
27,9.18,16.240704,6.759874,0.22053327,0.44106653,0.044927366,11175,54
28,7.48,6.249695,25.42393,0.23179169,0.46358338,0.05216536,10296,44
29,7.65,11.946695,14.285017,0.16581571,0.33163142,0.019097023,10838,45
30,9.690001,1.1053882,17.048487,0.334323,0.668646,0.15652631,10384,57
31,5.61,22.702974,14.157473,0.19271705,0.3854341,0.0299812,13560,33
32,9.52,0.21257466,17.516151,0.19984394,0.3996879,0.033431944,10108,56
33,6.63,11.351487,14.072442,0.19160478,0.38320956,0.029465081,10374,39
34,2.55,6.3772397,6.589814,0.19789498,0.39578995,0.03246332,9211,15
35,8.16,9.353285,26.571833,0.21729279,0.43458557,0.042975858,10485,48
36,5.61,4.8041873,16.708368,0.18543312,0.37086624,0.026708564,10935,33
37,8.67,14.837711,9.05568,0.21859625,0.4371925,0.043753896,9164,51
38,5.78,4.336523,16.198189,0.299094,0.598188,0.11207575,10696,34
39,3.74,2.5934107,13.5622635,0.18018016,0.36036032,0.024502452,9022,22
40,6.9700003,21.087406,14.965256,0.2028604,0.4057208,0.03496878,9047,41
41,7.48,9.013165,27.549675,0.1747315,0.349463,0.022346122,8053,44
42,2.21,6.0371203,8.673046,0.19435868,0.38871735,0.030753916,6405,13
43,9.86,18.323935,12.2443,0.15489854,0.30979708,0.01556792,5865,58
44,10.54,20.577227,24.446085,0.15010472,0.30020943,0.014166796,6975,62
45,2.21,8.077837,7.822747,0.17352277,0.34704554,0.02188558,5764,13
46,9.690001,0.21257466,14.795197,0.21060257,0.42120513,0.039127275,6232,57
47,7.14,20.704771,14.837711,0.3410268,0.6820536,0.16613235,6336,42
48,6.9700003,10.883822,13.307174,0.14369355,0.2873871,0.012427977,5644,41
49,8.67,14.242502,7.7802324,0.15275545,0.3055109,0.014930652,5437,51
50,10.54,17.558666,22.23531,0.16536418,0.33072835,0.018941436,5609,62
51,11.05,22.107765,23.170637,0.15801062,0.31602123,0.016525226,6067,65
52,8.67,17.133518,25.84908,0.1752638,0.3505276,0.022550976,4450,51
53,4.08,7.5251427,8.970651,0.22702485,0.4540497,0.049012724,4778,24
54,5.78,19.769444,13.647293,0.34682652,0.69365305,0.17475337,4865,34
55,5.78,10.713762,10.161069,0.15551597,0.31103194,0.015754826,4209,34
56,5.61,21.044891,14.710166,0.2218277,0.4436554,0.045723133,5310,33
57,10.03,15.26286,27.677221,0.14055279,0.28110558,0.011630732,4082,59
58,7.31,10.883822,25.976624,0.16354652,0.32709303,0.018323671,3757,43
59,3.23,3.613769,13.349689,0.08652375,0.1730475,0.0027132798,5288,19
60,8.84,0.85029864,14.837711,0.13817137,0.27634275,0.011049505,4513,52
61,7.65,15.560465,9.268255,0.4,0.8,0.2680826,4562,45
62,3.74,6.5472994,8.758076,0.22367142,0.44734284,0.046872716,4021,22
63,3.4,8.715561,8.5880165,0.14821516,0.29643032,0.013638497,3517,20
64,6.8,8.205381,28.144884,0.12901312,0.25802624,0.008994775,4274,40
65,7.31,9.31077,25.211355,0.10184767,0.20369534,0.004425292,3314,43
66,1.7,5.9946055,7.0999937,0.2620885,0.524177,0.07541063,4387,10
