cell_id,cell_signal_total_CH1,signal_inside_mask_CH1,signal_percent_inside_mask
1,99397.0,99397.0,100.0
2,15179480.0,15178705.0,99.99489442326087
3,47073376.0,47073376.0,100.0
4,26634064.0,26634064.0,100.0
5,23521564.0,23518036.0,99.98500099738266
6,5762171.0,5762171.0,100.0
7,22279852.0,22279852.0,100.0
8,127318.0,126107.0,99.04883834178985
